2017-02-01 20:02:15 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/App/Controllers/Index/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-01 20:02:08 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/App/Controllers/Index/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-01 20:02:10 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/App/Controllers/Index/Default.html" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-01 21:02:08 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 18 | Контроллер \App\Controllers\Favicon.ico не найден
2017-02-01 21:02:56 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/editPage.php" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-01 22:02:15 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/vendor/twig/twig/lib/Twig/Loader/Filesystem.php | Строка 226 | Unable to find template "/home/danis/web-программирование/kredit/App/Controllers/../Templates/newArticle.php" (looked into: /home/danis/web-программирование/kredit/App/Templates, /home/danis/web-программирование/kredit/App/Layouts).
2017-02-02 11:02:16 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 18 | Контроллер \App\Controllers\Favicon.ico не найден
2017-02-02 14:02:17 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 18 | Контроллер \App\Controllers\Favicon.ico не найден
2017-02-02 16:02:10 | Уровень info | Код ошибки 0 | /home/danis/web-программирование/kredit/public/index.php | Строка 18 | Контроллер \App\Controllers\Favicon.ico не найден
2017-02-02 16:02:11 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Layouts/Base.html | Строка 18 | Unexpected character "\".
2017-02-02 16:02:14 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Layouts/Base.html | Строка 18 | Unexpected character "\".
2017-02-02 16:02:26 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Layouts/Base.html | Строка 18 | Unexpected character "\".
2017-02-02 16:02:45 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Layouts/Base.html | Строка 18 | Unexpected token "punctuation" of value ":" ("end of print statement" expected).
2017-02-02 16:02:03 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Layouts/Base.html | Строка 18 | Unexpected token "punctuation" of value ":" ("end of print statement" expected).
2017-02-02 16:02:05 | Уровень debug | Код ошибки 0 | /home/danis/web-программирование/kredit/App/Layouts/Base.html | Строка 18 | An exception has been thrown during the rendering of a template ("DateTime::__construct(): Failed to parse time string (Y-m-d H:s:i) at position 1 (-): Unexpected character").
